Date and time of Verification,Supply,State,District/City,Name of vendor,Contact details,"Preferred mode of contact (voice call, whatsapp, etc)",Links,Misc Data ,"Status (out of stock, working number)"
Na,Oxygen Refill,Telangana,Hyderabad,Vinod Rao,9395350069,Na,Na,Na,Na
Na,Oxygen Refill,Telangana,Hyderabad,Jameel,8801662032,Na,Na,Na,Na
Na,Oxygen Refill,Telangana,Hyderabad,Asif Nagar,9645733122,Na,Na,Na,Na
Na,Oxygen Refill,Telangana,"Hyderabad, Langar house",Baba Gas Oxy ,7893932629 / 8639042247 / 9396589260 / 7673929606,Na,Na,Na,Na
Na,Oxygen Refill,Telangana,Hyderabad,Majilis Covid Helpline,7306600600,Na,Na,Na,Na
Na,Oxygen Refill,Telangana,Hyderabad,Mohd Arif,6301619027,Na,Na,Na,Na
Na,Oxygen Refill,Telangana,Hyderabad ,Na,9831199333,Na,Na,Na,Na
Na,Oxygen Refill,Telangana,Hyderabad ,Asian Surgicals,8639790969,Na,Na,Na,Na
4July2021 & 10:13am,Oxygen Flow Meter/kit,Telangana,"Hyderabad, Gachibowli",Shashi,9700120384,Calls and Whatsapp,N/A,N/A,63 Pieces Available 
6July2021 & 7:36pm,Oxygen Flow Meter/kit,Telangana,"Hyderabad, Boduppal",Srija,9535879338,Call and Whatsapp,N/A,Cost Depend on demand...,75 pieces Available 
6July2021 & 8:03pm,Home RTPCR,Telangana,"Hyderabad, Sanathnagar",Sipra Labs Limited,9866531563 / 6309399932,Calls,N/A,N/A,Verified
NA,Home RTPCR,Telangana,Hyderabad,NA,8919752207,NA,NA,NA,NA
4July2021 & 7:58pm,Ambulance,Telangana,Hyderabad ,Md. Ghous,9866745578,Calls and Whatsapp ,N/A,Free of Cost for Covid patients.,9 Vehicles Available 
5July2021 & 11:54am,Ambulance,Telangana,Sangareddy,Dr. Syed Amjad,6300928983 / 9963102540,Calls and Whatsapp,N/A,Free of Cost for Covid patients.,3 Vehicles Available 
6July2021 & 10:32am,Ambulance,Telangana,"Hyderabad, Rassolpur",Kriya Sangh Society ,9347010276,Calls and whatsapp,N/A,Free Service ,1 Vehicle Available 
NA,Ambulance,Telangana,Telangana ,NA,9951438458,NA,NA,NA,NA
NA,Ambulance,Telangana,Hyderabad ,NA,18004199114,NA,NA,NA,NA
NA,Home ICU,Telangana,Hyderabad,"Nursing Service, Rohit",7702777571,NA,NA,NA,NA
NA,Home ICU,Telangana,Hyderabad ,"Nursing Service, Jaspal",7702220655,NA,NA,NA,NA
4July2021 & 8:59am,Food Service,Telangana,"Hyderabad, Rachakonda",Rachakonda Police Commissioner's ,9490617111,"9490617234, 7995404040",N/A,Free Food (NGO) 24/7,verified 
4July2021 & 8:23pm,Food Service,Telangana,Hyderabad ,Sunil,8686108111,Calls and whatsapp,N/A,Free Food,Verified 
5July2021 & 12:13pm,Food Service,Telangana,Khammam,Sohail,9133778841 / 9059363968,Calls and Whatsapp,N/A,Free Food,Verified 
5July2021 & 12:08pm,Food Service,Telangana,Telangana ,"Madhukar, Aasya Foundation ",7674847686,Calls and Whatsapp,N/A,Free Food and Groceries ,Verified 
5July2021 & 12:03pm,Food Service,Telangana,Warangal,Sathish,9641466666,Calls and Whatsapp,N/A,Free Food,Verified 
5July2021 & 11:36am,Food Service,Telangana,Warangal,Aasya Foundation ,8499812814 / 9494148444,Calls and Whatsapp,N/A,Free Food and Groceries ,Verified 
5July2021 & 11:36am,Food Service,Telangana,Nizamabad,Aasya Foundation ,7075798384 / 9032344959,Calls and Whatsapp,N/A,Free Food and Groceries ,Verified
5July2021 & 11:36am,Food Service,Telangana,Hyderabad ,Aasya Foundation ,9603542681 / 8185004545,Calls and Whatsapp ,N/A,Free Food and Groceries ,Verified 
5July2021 & 11:26am,Food Service,Telangana,"Chittor, Puttur Town",Rajesh,9966964936 / 8008928980,Calls and Whatsapp,N/A,"Free food, Sanitiser and Masks",Verified 
5July2021 & 11:36am,Food Service,Telangana,Khammam,Aasya Foundation ,9490909022 / 9160216093,Calls and Whatsapp,N/A,Free Food and Groceries ,Verified 
5July2021 & 11:36am,Food Service,Telangana,"Bhapradri, Kothagudam",Aasya Foundation ,8074700572 / 8374933040,Calls and Whatsapp,N/A,Free Food and Groceries ,Verified
5July2021 & 11:43am,Food Service,Telangana,Kothagudam,Srikanth,9949958233,Calls and whatsapp,N/A,Free food and Arranging blood ,Verified 
6July2021 & 10:32am,Food Service,Telangana,"Hyderabad, Rassolpur",Kriya Sangh Society ,9347010276,Calls and Whatsapp,N/A,Free Food,Verified 
6July2021 & 7:20pm,Food Service,Telangana,Hyderabad ,Kiran,9398819200,Calls and Whatsapp,N/A,Fruits at Door Steps ( Whatsapp for delivery),Verified 
NA,Food Service,Telangana,Hyderabad ,Food,9014367637 / 9603192503,NA,NA,NA,NA
NA,Food Service,Telangana,Hyderabad ,Magic on Tonge ,8688901987,NA,NA,"Food - Breakfast, Lunch, Dinner ",NA
NA,Food Service,Telangana,Hyderabad,Satish,8686907676,NA,NA,NA,NA
NA,Food Service,Telangana,Hyderabad ,Nayeem,9347010276,NA,NA,NA,NA
NA,Food Service,Telangana,Hyderabad,"Kailash Dabba, Rapido",9989273333,NA,NA,NA,NA
NA,Food Service,Telangana,"Hyderabad,ABIDS, Himayathnagar",Karna Mess,9177256614,NA,NA,NA,NA
NA,Food Service,Telangana,"Hyderabad, Madhapur, HitechCity",Dabbawala,9963121240,NA,NA,NA,NA
4July2021 & 8:42pm,Isolation Center,Telangana,"Hyderabad, Gachibowli",Rajashekhar,9493678136,080-45811138,Twitter ID- @oxycarecyd,Free Oxycare center for Post Covid patients ,40 Beds Available 
6July2021 & 10:24am,Isolation Center,Telangana,"Hyderabad, Gachibowli",Murali ( Gama health Center,9885471177,Calls and WhatsApp ,N/A,11-ICU Beds and 8normal Beds ,Verified 
NA,Oxygen Concentrator,Jharkhand,Jharkhand,yatharth,9304563696,NA,NA,NA,NA
NA,Oxygen Concentrator,Jharkhand,Jharkhand,Atul,9510046320,NA,NA,NA,NA
NA,Oxygen Concentrator,Jharkhand,Jharkhand,Sataxi,8235069280,NA,NA,NA,NA
NA,Oxygen Concentrator,Jharkhand,Jharkhand,Pranav,7903187993,NA,NA,NA,NA
NA,Oxygen Concentrator,Jharkhand,Near Permsons,Sandeep,7717769035,NA,NA,NA,NA
NA,Oxygen Concentrator,Jharkhand,Hinoo,Suresh Bothra,9431114183,NA,NA,NA,NA
NA,Oxygen Concentrator,Jharkhand,Ranchi,Nandini Bangar,903891001,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Kokar,Abhishek,8757205365 / 879718537,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,"Ranchi, near Seva Sadan",Manoj Naredi,9234653311,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,New Dibdih,Pratik,8877173851,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Ranchi,Yash,9835400828,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Ranchi,Nishant,7004348496,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Deepanshu Goyal,8002898967,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Saima,9934011572,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Unknown,9308462813,Whatsapp,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Bariatu,Amit Raman,9852108433,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Piska More,Akaash,8409973908,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Aryan,7654947547,NA,NA,Home Delivery,NA
NA,Oxygen Cylinder,Jharkhand,Ratu Road,Amarjeet,8235256920,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Near Railway Station,Abhijeet,8092448086,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Piska More,Ashutosh,9472715479,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Harsh Vardhan,9709833671,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Ranchi,Pratyush,7903891001,NA,NA,Home Delivery,NA
NA,Oxygen Cylinder,Jharkhand,Ranchi,Aniket Singh,9798365706,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Deepak,8235116351,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Shiv Tiwari,9386357922,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Laxmi Agency,6362404591 / 9304128636,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Vijay Khalkho,8709727459,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Bahadur Oraon,9031514421,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Ankit Singh,6203888264,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Ashmeet Singh,7979927822,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand ,Marwari Oxy Seva,6299423226 / 8479918684,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Gourav,8210937138,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Prem Prateek,9534098966,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jamshedpur,Maps India Ltd,7004996482,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jamshedpur,Shubham Bajpai,6200686617,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jamshedpur,Tushar Bajpai,7541097913,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jamshedpur,Pradeep Kumar,8409922333,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jamshedpur,Mahima Gases,9334350706,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Mission Manavta,9431373471,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Shivi Jawaher Talwar,9031312989,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Sparsh Hospital,9934014233,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Oxygen Bank,7549777770 / 9470567187,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Jharkhand,Oxygen Bank,9431109590 / 9204856300 / 9430194679,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Ranchi,NA,9934011572 / 9234653311,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Ranchi,NA,9852108433 / 8757205365 / 9708257000,NA,NA,NA,NA
NA,Oxygen Cylinder,Jharkhand,Ranchi,NA,8409973908 / 8235256920 / 7004348496,NA,NA,NA,NA
,Oxygen Cylinder,Jharkhand,,,,,,,
NA,Oxygen Refill,Jharkhand,Ratu Road,Uttam Yadav,9122700009,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Bariatu,Amrit Raman,9852108433,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Near Dibdih,Pratik Modi,8877173851,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Near Santevita Hospital,Navin Lal,7004533433,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Yash,9835400828,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Amit Gas Agency,6207148520,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Maa Enterprises,9798924853 / 9334464725,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Ashish,9835123855 / 9931313196,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ratu Road,Mishra,9931146303,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,Pratap Singh,8409577669,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Oxygen,9977939501,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Kartik,9060638888,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,Nishant Kedia,9431105828,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,Surya Pratap,9430794307,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,Srivatsa Enterprises,9304563696,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,Jasdeep,7004813963,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,Kailash,9661509099,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,Achyut Kishore,7717769035,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Jharkhand,yasir,9709025704,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Kanke,Vikas,8987620046,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Deewana Raj,8340509836,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Ashutosh Singh,9472715479,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Abhishek,879718537 / 8757205365,NA,NA,NA,NA
NA,Oxygen Refill,Jharkhand,Ranchi,Manoj Naredi ,9234653311,NA,NA,Available Cylinders also,NA
,Home RTPCR,Jharkhand,,,,,,,
NA,Home RTPCR,Jharkhand,Ranchi,Prabhat Singh Apollo Diagnostic,8340722458,NA,NA,Home Collection,NA
NA,Home RTPCR,Jharkhand,Ranchi,S.Sharan Lab,9507700001 / 9297923001,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Ranchi,Gurmeet Sharan,8789444018,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Ranchi,Guru Diagnosis,8252019991,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Ranchi,J Sharan Abhinandan,9279450486,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Ranchi,Matrix Lab,9297970101 / 730077700,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Ranchi,SRL Diagnostics,6512244113,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Ranchi,Matrix Viroloy,7479450486,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Ranchi,Home Collection,8002123567,Whatsapp,NA,Home Collection,NA
NA,Home RTPCR,Jharkhand,Ranchi,Micropraxis,8409761221,NA,NA,NA,NA
NA,Home RTPCR,Jharkhand,Jamshedpur,Shahbaj Diagnostic,7870627045,NA,NA,NA,NA
NA,Ambulance,Jharkhand,Ranchi,Shamshad,9386646273,NA,NA,NA,NA
NA,Ambulance,Jharkhand,Ranchi,NA,9958718258,NA,NA,24/7 With Oxygen Support ,NA
NA,Food Service,Jharkhand,Ranchi,Sevaak,7295875655,NA,NA,NA,
NA,Food Service,Jharkhand,Ranchi,Shades Restaurant,9579782468,NA,NA,NA,
NA,Food Service,Jharkhand,Ranchi,Guru ka Langar,9431581052,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Anushka's Tiffin Service,8825205931 / 7004765159,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Roti Bank,9430335370,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Cook & Bake,7250480013,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Shri Ldliwala,8084580013 / 9534528095,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Protein Hub,8092448086,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Accord,8051033111 / 9304953522,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Shree Ganpat Food,6513559633,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Krsna Restaurant,8051615285 / 9031015285,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Sewa Bharti,8010066066,NA,NA,NA,NA
NA,Food Service,Jharkhand,Jamshedpur,Marwari Yuv Manch,9835903000 / 9308014767 / 9835193302,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Cafe Yum Yum,9835497696,NA,@dc-ranchi,NA,NA
NA,Food Service,Jharkhand,Ranchi,Shuffle,8092541654,NA,@Cafe.shuffle,NA,NA
NA,Food Service,Jharkhand,Ranchi,Manddieddpa,7050518606,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Dhunki,7520947777 / 7520948888,NA,NA,NA,NA
NA,Food Service,Jharkhand,Jamshedpur,The fool Circus,7631051919,NA,NA,NA,NA
NA,Food Service,Jharkhand,Jamshedpur,Shyam Rasoi,7903156296 / 8789376398,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Sejal Tiffin Services,93343990007,NA,NA,NA,NA
NA,Food Service,Jharkhand,Sector 4,Mithila Tiffins,7947131850,NA,NA,NA,NA
NA,Food Service,Jharkhand,sector 9,PVR Fooding,7947132603,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Gajanan Mess,7947133159,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Mom's Tiffin & Mess,7947133129,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Delivery on Wheels,7808445500 / 9654392209,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Mowgli's Cafe,8334970718,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Apoorva,9031279434,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Shubham Spice Club,8877080002,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,India Young Foundation,7654947547 / 8877173851,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,My Fit Cafe,9958396764,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Amrit Raman,9852108433,NA,NA,NA,NA
NA,Food Service,Jharkhand,Dhanbad,Anand Mangal Sewa,9334000222,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Dal- Chini,9546765777 / 9546762111,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Mogli's Cafe ,8334970718,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Hunger Garden,9102311100 / 9801578370,NA,NA,NA,NA
NA,Food Service,Jharkhand,Ranchi,Seth,9431352397 / 6203009003 / 98357181119,NA,NA,NA,NA
NA,Food Service,Jharkhand,"Ranchi, ITI, Dirba, Outskirts",Kairo Lounge,9102177753 / 9608042227,NA,NA,NA,NA
NA,Oxygen Concentrator,West Bengal,Kolkata ,NA,7665782835,NA,NA,NA,No Reply
NA,Oxygen Concentrator,West Bengal,Belgharia,NA,6290880134,NA,NA,NA,No Reply
NA,Oxygen Concentrator,West Bengal,Kolkata ,Kuntal,8967280434,NA,NA,NA,No Reply
NA,Oxygen Concentrator,West Bengal,Kolkata ,NA,9830141031,NA,NA,NA,No Reply
NA,Oxygen Concentrator,West Bengal,West Bengal,NA,9883235935,NA,NA,NA,Available
NA,Oxygen Concentrator,West Bengal,Kolkata ,NA,9830141031,NA,NA,NA,NA
N/A,Oxygen Cylinder,West Bengal,Kolkata ,Chirajit Rah,9748722721,NA,NA,NA,No
NA,Oxygen Cylinder,West Bengal,Kolkata,Project Breath,9696022022,NA,NA,NA,Available
NA,Oxygen Cylinder,West Bengal,Kolkata,KSS  Services,9674508854,NA,NA,NA,Available
NA,Oxygen Cylinder,West Bengal,Kolkata,Aryan Service ,9007427926,NA,NA,NA,Available
NA,Oxygen Cylinder,West Bengal,Kolkata,Apex Clinic ,8240152268,NA,NA,NA,No
NA,Oxygen Cylinder,West Bengal,Kolkata,Nikita Diwan,9903323331,NA,NA,Cans only ,Available
NA,Oxygen Cylinder,West Bengal,Kolkata,Uibandeep,9073562583,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Kolkata,Tubai,8961186749,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata,Swapn kumar,8017711721,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Jadavpur,Oxygen Service,8335812405,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Jadavpur,Oxygen Services,7439620343,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Jadavpur,Aryan Oxygen Services ,6296972437,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Puralia,Tushar Oxygen Services,6889160044,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Howrah,SNC Gas,9007024466,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Goria,Shayam Oxygen Supply,9874165254,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Madhyamgram,Sandeep,9804454161,NA,NA,can arrange ,available
NA,Oxygen Cylinder,West Bengal,Barasat,GNRC Hospital,6291835619,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Nadia,Dada Oxygen Service,8640092764,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Alambazar,Asit Dutta,9143089258,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,North 24 Parganas ,Halisahar,9333227269,NA,NA,oxygen cylinder for rent and also Ambulance,available
NA,Oxygen Cylinder,West Bengal,"Purba Burdwan, Katwa",Sukdev dey,9749450067,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Bankura ,Shreyasi,7866855988,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,Sayan Chakraborty,9432010295,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,Malay Choudhury,8167707363,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,"Hooghly, Singur, Balarambati",Alok Das,7890788704,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,"Kolkata, Behala",Biswajit Biswas,9433484556,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Howrah,Subham Das,8777206950,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,South Kolkata,Subhajit,8420266335,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,"Kolkata, Behala",Write a,8981480697,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kestopur,Ujjwal Biswas ,9331030293,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,South 24 parganas,Molina Sikdar,7890629585,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,"Dinajpur, West Bengal",Welfare trust,9434969901,NA,NA,NA,No
NA,Oxygen Cylinder,West Bengal,"Malda, West Bengal ",Sil Brothers ,9733419417,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata ,NA,8420570440,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,"Kolkata, New town",NA,9073562583,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata,NA,9804565850,NA,NA,.both for sale and rental,available
NA,Oxygen Cylinder,West Bengal,Tollygunge Pheri,Sourav,9831919933,NA,NA,can arrange ,available
NA,Oxygen Cylinder,West Bengal,"Behala, West Bengal",NA,7044357444,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,"Jorasanko, West Bengal",Kaveri Multispeciality Hospital,7890300914,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Salt Lake Dum Dum,NA,6289235283,NA,NA,rent only ,available
NA,Oxygen Cylinder,West Bengal,Baranagar,Diptanu Saha,8100899303,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Kolkata,NA,9748410020,NA,NA,"can provide oxygen cylinder , refills , oximeter , masks and sanitizers",available
NA,Oxygen Cylinder,West Bengal,"Kolkata, Howrah",NA,9804148879,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,"Kolkata, Ranigunj",Anish Poddar,9332952323,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Hawrah,Bhaskar Roy,8910820554,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Basirhat ,MS. Life Care,9434116824 / 9733617759,NA,NA,sale and refill both ,available
NA,Oxygen Cylinder,West Bengal,Kolkata,IHS Agency,9830200026,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Howrah,Raza medical,8013581712,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,"Kolkata, Garia",Jai Mata para enterprises,7059323029,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata,Pradip Shanghai,9831005617,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Ballygunge,Private,9831495440,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Howarh,Mayukh,9038367159,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Kolkata,Yuvashakti,6291275298,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Kolkata ,Ankul Pharmacy,6290081869,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,Ghosh,9830300892,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,Partha,9333227269,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Rashbehari,Bimal ,70001300023,NA,NA,NA,Wrong number
NA,Oxygen Cylinder,West Bengal,Kolkata,Laha Singh,9230833509,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Chandanagar,Ghosh,9123096167,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Serampore,Agrawal,9038840685 / 9804006628,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Konnanagar,Nahar Medico,8961186149 / 8240023694,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,Anustup,7003489508,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,MD Medical,9749450067,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,Kosturi Dutta,8961279610,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,North 24 Parganas,Shubhadip,7003656667,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,Kolkata ,KP as Trading Co.,8240455132,NA,NA,12500+18% gst full cylinder,available
NA,Oxygen Cylinder,West Bengal,Kolkata ,Private Oxy Service ,9434401716,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata ,Private Oxy Service ,8697560044,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata ,Private Oxy Service ,9830260622,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata ,Private Oxy Service ,8101484889,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Shayamnagar,Private Oxy Service ,6290490078,NA,NA,Sale nd rent all avilable,available
NA,Oxygen Cylinder,West Bengal,New Alipore,Private Oxy Service ,9883235935,NA,NA,have concentrators too,available
NA,Oxygen Cylinder,West Bengal,Golf Green,Private Oxy Service ,9874843794,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Bhowanipur,Private Oxy Service ,9830237206,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Nadia,Himobaha Sararkar,8388992747,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Sodhour,Sadhu,7003103243,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Kolkata,Oxy On wheel,9073628584,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Howrah,Lion Club,9830086636 / 983102887 / 7980407184,NA,NA,NA,available
NA,Oxygen Cylinder,West Bengal,24 Parganas,Satan Chakrarty,9432010296,NA,NA,NA,No Reply
NA,Oxygen Cylinder,West Bengal,Basirhat,Amir Mondal,7001298449,NA,NA,NA,available
